description,calories,proteins,fats,carbohydrates,sodium,Magnesium,calcium,iron,zinc,vitamin A,vitamin C,vitamin D,vitamin E,vitamin K,vitamin B1,vitamin B2,vitamin B3,vitamin B6,vitamin B12,SFA,MUFA,PUFA
"String Hoppers, White",202.89,3.82,0.71,43.6,746.78,12.59,4.26,0.12,0.65,0,0,0,0,0,0.05,0,0.69,0.03,0,0.21,0.24,0.21
"String Hoppers, Red",201.95,3.95,2.11,38.91,763.95,68.05,6.47,0.82,1.05,0,0,0,0.33,0,0.18,0,3.29,0.07,0,0.31,0.55,0.55
Hoppers,142.47,2.68,0.5,30.62,226.06,8.84,2.61,0.08,0.46,0,0,0,0.03,1.1,0.03,0,0.48,0.02,0,0.15,0.17,0.15
Pasta Boiled,158,5.8,0.93,29.1,1,18,7,0.5,0.51,0,0,0,0.06,0.5,0.02,0.02,0.4,0.05,0,0.18,0.13,0.33
Corn Flakes,365,6.4,1.6,76,703,29,4,28,0.6,10,0,5,0.11,0,1.03,1.02,12.9,1.44,1.8,0.2,0.35,0.75
Samaposha Ball,379.46,10.87,11.61,54.11,389.36,7.92,35.15,2.1,0.27,138.61,0.83,2.18,0.06,0.05,0.21,0.01,0.13,0.01,0.15,7.95,1.59,1.43
Oats,379,13.2,6.52,57.6,6,138,52,4.25,3.64,0,0,0,0,2,0.46,0.16,1.12,0.1,0,1.11,1.98,2.3
Pittu,344.47,5.24,13.19,48.09,463.53,25.1,9.25,1.03,1.1,0,1.22,0,0.09,0.07,0.08,0.01,0.92,0.05,0,11.25,0.78,0.35
Boiled Cassava With Salt,191,1.42,3.02,37.7,146,22,17,0.28,0.36,13,18.2,0,0.52,4.5,0.08,0.05,0.85,0.1,0,0.85,1.08,0.88
"Potato, Boiled",87,1.87,0.1,18.3,4,22,5,0.31,0.3,0,13,0,0.01,2.2,0.11,0.02,1.44,0.3,0,0.03,0,0.04
"Sweet Potato, Boiled",76,1.37,0.14,15.2,27,18,27,0.72,0.2,787,12.8,0,0.94,2.1,0.06,0.05,0.54,0.17,0,0.03,0,0.06
Sweet Potato Curry,95.37,1.81,5.24,12.9,520.78,19.61,31.94,0.83,0.28,355.97,7.18,0,0.56,3.5,0.05,0.04,0.38,0.15,0,3.05,0.51,0.16
"Potato Curry, White",71.38,1.49,3.31,8.23,373.24,14.55,14.38,0.61,0.21,0.43,10.62,0.07,0.23,1.88,0.04,0.01,0.39,0.07,0,2.61,0.45,0.16
Tempered Potato,131.55,1.93,6.61,13.78,470.21,22.32,20.06,0.49,0.31,1.67,24.08,0.13,0.09,2.35,0.07,0.02,0.66,0.13,0,5.2,0.48,0.18
French Fries,323,3.41,15.5,27.1,189,37,19,0.8,0.51,0,5.6,0,1.38,64.6,0.18,0.04,3.22,0.38,0,2.27,7.38,4.73
Cassava Chips,515,1.34,25.9,65.5,296,46,52,0.72,0.85,0,0,0,2.78,5.3,0.05,0.03,1.2,0.13,0,9.69,8.44,7.77
Chickpea (Boiled),164,8.86,2.59,19.8,7,48,49,2.89,1.53,1,1.3,0,0.35,4,0.12,0.06,0.53,0.14,0,0.27,0.58,1.16
Cowpea (Boiled),116,7.73,0.53,14.3,4,53,24,2.51,1.29,1,0.4,0,0.28,1.7,0.2,0.05,0.5,0.1,0,0.14,0.04,0.22
Green Grams Boiled,131.82,9.99,0.42,13.31,5.67,66.36,44.98,1.89,1.3,8.86,0,1.64,0.16,5.41,0.19,0.13,1,0.15,0,0.12,0.01,0.29
"Dhal Curry, Thick",129.43,7.51,2.36,16.49,417.63,18.16,21.79,2.22,1.02,16.82,5.54,0.36,0.72,3.65,0.25,0.07,0.91,0.2,0,1.64,0.34,0.3
"Dhal Curry, Watery",93.77,5.17,2.2,11.42,389.35,12.3,15.05,1.61,0.7,15.43,2.93,0.38,0.56,2.45,0.17,0.05,0.63,0.14,0,1.62,0.29,0.24
"Dhal Curry, Spinach",78.88,4.61,1.52,9.87,242.1,15.74,20.14,1.58,0.64,35.2,4.95,0.17,0.5,30.73,0.15,0.05,0.55,0.14,0,1.07,0.21,0.18
Soya Curry,99.93,10.3,2.35,8.57,546.27,7.75,17.96,0.62,0.17,23.43,5.27,0.54,0.9,3.38,0.02,0.02,0.27,0.07,0,1.73,0.37,0.22
Tofu,76,8.08,4.78,1.57,7,30,350,5.36,0.8,26,0.1,0,0.01,2.4,0.08,0.05,0.19,0.05,0,0.69,1.06,2.7
