description,calories,proteins,fats,carbohydrates,sodium,Magnesium,calcium,iron,zinc,vitamin A,vitamin C,vitamin D,vitamin E,vitamin K,vitamin B1,vitamin B2,vitamin B3,vitamin B6,vitamin B12
Devilled Fish,171.67,16.63,6.86,5.32,806.13,29.07,18.71,0.83,0.36,20.05,13.34,1.2,0.38,2.57,0.1,0.1,12.19,0.69,1.36,5.4,0.5,0.27
Vegetarian meatloaf or patties,197.0,21.0,9.0,8.0,550.0,18.0,29.0,2.1,1.8,0.0,0.0,0.0,1.73,0.0,0.9,0.6,10.0,1.2,2.4,1.425,2.188,4.666
Cashew Curry,300.56,8.71,23.37,15.32,479.74,124.22,30.93,3.24,2.46,3.92,8.59,0.06,0.66,15.22,0.19,0.04,0.55,0.24,0,7.94,10.26,3.36
Baby Jackfruit Curry,71.61,2.18,4.51,4.73,482.86,22.65,41.3,0.75,0.28,22.68,18.63,4.45,0.92,15.18,0.04,0.04,0.37,0.11,0,3.41,0.51,0.32
Breadfruit Curry,90.53,1.37,2.62,13.69,267.43,19.27,22.73,0.85,0.18,1.21,20.39,0,0.4,2.34,0.07,0.03,0.55,0.09,0,2.03,0.37,0.14
Brinjal Curry,49.45,1.27,2.43,3.78,516.9,11.96,18.49,0.49,0.2,16.4,7.43,0.31,0.7,4.04,0.03,0.03,0.48,0.1,0,1.85,0.33,0.19
Drumstick (Muranga) Curry,52.28,1.78,2.3,4.89,559.62,27.23,27.08,0.56,0.32,2.07,73.44,0,0.2,0.85,0.04,0.05,0.38,0.1,0,1.82,0.31,0.1
Okra White Curry,71.36,1.82,4.69,3.92,794.45,28.67,47.88,1.4,0.42,28.44,14.45,0.44,1.03,12.08,0.08,0.04,0.57,0.15,0,3.42,0.62,0.3
Coconut Milk Gravy (Kiri Hodi),52.25,1,3.8,2.9,536.42,6.01,12.93,0.55,0.11,1.52,6.98,0,0.27,1.71,0.01,0.01,0.09,0.04,0,3.16,0.47,0.14
Wood Apple,78,3.09,3.62,7.43,1.45,25.16,59.15,0.45,0.32,0.46,13.58,0,0,0,0.03,0.01,0.56,0.14,0,0.87,0.57,1.45
King Coconut Water,26,0,0,4.85,7,14,66,0,0.1,0,2.6,0,0,0,0.06,0.03,0.1,0.03,0,0,0,0
Non-Fat Milk Tea,49.66,2.93,0.12,9.37,22.71,6.92,105.5,0.64,0.3,58.73,1.18,0,0,0,0.03,0.19,0,0.02,0.44,0.08,0.03,0
Plain Tea,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butter Cake,353,5,14,53,377,8,47,1.48,0.43,70,0,0.8,0.65,1.7,0.17,0.25,1.62,0.04,0.36,4.81,3.02,3.42
Sprats Curry,168.35,16.96,8.85,4.21,"3,332.78",58.2,382.44,1.8,1.51,32.83,10.36,0.69,0.97,3.84,0.02,0.11,2.07,0.32,0,6.47,1.07,0.85
Maldive Fish,303,61.32,6.26,0,"10,612.00",133,51.12,3.44,3.02,22.29,0,0,0.41,0.66,0,0.18,3.19,2.99,0,2.71,1.54,1.38
"Soup, chicken broth, ready-to-serve",6.0,0.64,0.21,0.44,371.0,1.0,4.0,0.07,0.07,0.0,0.0,0.0,0.04,0.0,0.021,0.059,0.219,0.0,0.02,0.013,0.019,0.009
Vegetable Soup,38,1.78,0.87,4.98,239,12,14,0.48,0.18,37,6.3,0,0.21,16.9,0.04,0.04,0.94,0.08,0.04,0.17,0.33,0.31
