description,calories,proteins,fats,carbohydrates,sodium,Magnesium,calcium,iron,zinc,vitamin A,vitamin C,vitamin D,vitamin E,vitamin K,vitamin B1,vitamin B2,vitamin B3,vitamin B6,vitamin B12
"Salad dressing, caesar dressing, regular",542.0,2.17,57.85,3.3,1209.0,2.0,48.0,1.08,0.11,9.0,0.3,0.1,4.74,104.8,0.01,0.01,0.04,0.025,0.03,8.789,13.504,32.857
"APPLEBEE'S, coleslaw",501.0,0.79,7.09,13.17,178.0,10.0,36.0,0.26,0.19,77.0,13.7,0.0,0.5,65.1,0.03,0.063,0.3,0.129,0.0,1.061,1.404,3.819
"Potato salad, home-prepared",143.0,2.68,8.2,11.17,529.0,15.0,19.0,0.65,0.31,32.0,10.0,0.0,0.0,0.0,0.077,0.06,0.89,0.141,0.0,1.429,2.48,3.737
"Cabbage, kimchi",65.0,1.1,0.5,2.4,498.0,14.0,33.0,2.5,0.22,5.0,0.0,0.0,0.11,43.6,0.01,0.21,1.1,0.213,0.0,0.067,0.037,0.241
"Sauerkraut, canned, solids and liquids",19.0,0.91,0.14,4.28,661.0,13.0,30.0,1.47,0.19,1.0,14.7,0.0,0.14,13.0,0.021,0.022,0.143,0.13,0.0,0.034,0.013,0.067
"Pickles, cucumber, sour",11.0,0.33,0.2,2.26,1208.0,4.0,0.0,0.4,0.02,10.0,1.0,0.0,0.09,47.0,0.0,0.01,0.0,0.009,0.0,0.052,0.003,0.081
"CAMPBELL'S, Tomato Soup, condensed",296.0,1.46,0.44,15.22,377.0,14.0,13.0,0.59,0.18,0.0,4.8,0.0,0.0,0.0,0.042,0.015,0.858,0.0,0.0,0.0,0.0,0.0
"Soup, chicken noodle, dry, mix",1576.0,15.42,6.51,62.32,3161.0,38.0,55.0,2.44,1.65,8.0,0.0,0.0,0.33,0.1,0.575,0.381,4.88,0.236,0.75,1.969,2.268,1.398
"Soup, hot and sour, Chinese restaurant",39.0,2.58,1.21,4.35,376.0,9.0,19.0,0.64,0.22,9.0,0.0,0.1,0.39,1.1,0.026,0.031,0.507,0.064,0.1,0.229,0.288,0.311
"SMART SOUP, French Lentil",53.0,2.9,1.06,9.5,131.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CAMPBELL'S CHUNKY, New England Clam Chowder",337.0,2.46,3.85,9.01,353.0,11.0,12.0,0.55,0.27,0.0,0.4,0.0,0.0,0.0,0.015,0.015,0.47,0.0,0.0,0.0,0.0,0.0
"SMART SOUP, Greek Minestrone",40.0,1.7,0.53,8.4,138.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Naan,311,11.1,7.28,45,508,74,64,1.88,1.35,2,0,0,1.44,3.6,0.15,0.2,3.89,0.14,0,3.16,2.12,1.37
"Bread, pita, whole-wheat",1096.0,9.8,1.71,55.89,421.0,69.0,15.0,3.06,1.52,0.0,0.0,0.0,0.61,1.4,0.339,0.08,2.84,0.265,0.0,0.208,0.349,1.055
"Snacks, tortilla chips, ranch-flavor",2098.0,7.19,24.63,62.74,519.0,87.0,134.0,1.38,1.43,0.0,0.0,0.0,0.0,1.4,0.048,0.06,1.3,0.2,0.0,3.539,7.047,13.528
"Focaccia, Italian flatbread, plain",249.0,8.77,7.89,35.82,561.0,20.0,35.0,3.16,1.33,0.0,0.0,0.0,1.42,5.7,0.47,0.301,3.67,0.113,0.0,0.877,5.67,0.994
"Snacks, bagel chips, plain",1887.0,12.34,15.14,66.36,233.0,39.0,24.0,5.05,1.0,0.0,0.0,0.0,0.81,5.2,0.523,0.337,7.66,0.117,0.0,6.835,6.05,2.085
"Fast foods, croissant, with egg, cheese, and bacon",289.0,12.92,16.4,22.5,602.0,17.0,146.0,1.55,1.31,176.0,0.1,0.8,0.97,2.8,0.227,0.296,2.007,0.09,0.64,7.031,5.753,1.989
"Candies, M&M MARS Pretzel Chocolate Candies",1869.0,5.0,15.0,72.94,475.0,39.0,50.0,0.9,1.25,34.0,0.0,0.0,0.37,4.7,0.082,0.203,0.433,0.032,0.45,8.986,3.302,1.014
Flavored Milk,69,2.4,1.8,10.9,50,11,100,0.33,0.16,60,2,1.3,0.01,0.1,0.01,0.3,0.11,0.4,0.06,1.1,0.6,0.09
Cheese Cake,339,1.64,15.2,43.3,339,15,59,0.64,0.59,86,0.1,0,0,0,0.1,0.12,0.68,0.06,0.34,5.39,7.13,1.64
Butter,717,0.85,81.1,0.06,11,2,24,0.02,0.09,684,0,0,2.32,7,0,0.03,0.04,0,0.17,50.5,23.4,3.01
Tofu yogurt,394.0,3.5,1.8,15.96,35.0,40.0,118.0,1.06,0.31,2.0,2.5,0.0,0.31,3.5,0.06,0.02,0.24,0.02,0.0,0.259,0.4,1.017
Heavy Cream,340,2.84,36.1,2.84,27,7,66,0.1,0.24,411,0.6,1.6,0.92,3.2,0.02,0.19,0.06,0.04,0.16,24.8,9.6,1.57
Vanilla Ice Cream,207,3.5,11,22.9,80,14,128,0.09,0.69,118,0.6,0.2,0.3,0.3,0.04,0.24,0.12,0.05,0.39,6.79,2.97,0.45
"Desserts, egg custard, baked, prepared-from-recipe",104.0,5.02,4.58,11.0,61.0,11.0,107.0,0.35,0.54,49.0,0.0,0.0,0.22,0.2,0.038,0.24,0.105,0.048,0.39,2.164,1.379,0.41
Paneer (Cottage Cheese),299,15.9,15.5,22.5,185,58,597,0,2.04,155,0,5.3,0.24,1.5,0.27,0.67,0.51,0.3,2.62,10.82,3.94,0.52
"Sour cream, light",136.0,3.5,10.6,7.1,83.0,10.0,141.0,0.07,0.5,90.0,0.9,0.2,0.3,0.5,0.04,0.12,0.07,0.02,0.42,6.6,3.1,0.4
Green Apple,58,0.44,0.19,10.8,1,5,5,0.15,0.04,5,3.57,2.45,0.18,3.2,0.02,0.03,0.13,0.04,0,0.03,0.01,0.05
Ambul Banana,109,1.11,1.09,23.37,3.15,25.67,9.39,0.51,0.23,9.68,13.61,0.2,0.78,5.44,0.01,0.05,0.82,0.64,0,0.4,0.06,0.42
Bud Mango,40,0.57,0.57,7.67,1.32,14.87,13.51,0.57,0.09,173,32.08,0,0.28,5.15,0.03,0.04,0.22,0.1,0,0.17,0.15,0.14
Orange,47,0.94,0.12,9.4,9,10.7,43,0.33,0.11,11,53.2,0,0.18,0,0.09,0.04,0.28,0.06,0,0.01,0.02,0.03
Pineapple,45,0.55,0.13,10.4,1,12,13,0.25,0.08,3,16.9,0,0.02,0.7,0.08,0.03,0.47,0.11,0,0.01,0.01,0.04
Papaya,43,0.47,0.26,9.1,8,21,20,0.25,0.08,47,60.9,0,0.3,2.6,0.02,0.03,0.36,0.04,0,0.08,0.07,0.06
"Watermelon, raw",127.0,0.61,0.15,7.55,1.0,10.0,7.0,0.24,0.1,28.0,8.1,0.0,0.05,0.1,0.033,0.021,0.178,0.045,0.0,0.016,0.037,0.05
Fresh Black Grapes,57,0.81,0.47,10,1,14,37,0.26,0.11,3,6.5,3.51,0.09,6.8,0.03,1.5,0.14,0.11,0,0.11,0.01,0.14
Strawberry,35,0.64,0.22,5.33,10,11.8,12,0.28,0.18,1,56,26.21,0.11,2.1,0.03,0.02,0.39,0.04,0,0.01,0.04,0.16
"Muffins, blueberry, toaster-type",313.0,4.6,9.5,53.3,417.0,12.0,13.0,0.51,0.39,94.0,0.0,0.0,0.91,19.3,0.24,0.29,2.02,0.027,0.02,1.398,2.162,5.351
"Beverages, Kiwi Strawberry Juice Drink",195.0,0.0,0.0,12.26,11.0,0.0,0.0,0.15,0.0,1.0,24.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
